"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:21:24:67","ポゼッションエンド",,,,,
="0:21:24:67","相手チーム",,,,,
="0:21:31:83",,,"知久航介",,"インターセプト",
="0:21:32:74",,,"知久航介","パス",,
="0:21:35:38",,,"森海渡","ボールロスト",,
="0:21:46:37",,,"高嶺朋樹",,"カット",
="0:21:48:01",,,"高嶺朋樹","パス",,
="0:21:48:57","ポゼッションスタート",,,,,
="0:21:48:57","筑波大学",,,,,
="0:21:49:93",,,"渡邊陽","パス",,
="0:21:50:98","ポゼッションエンド",,,,,
="0:21:50:98","筑波大学",,,,,
="0:21:51:13",,,"森海渡","パス",,
="0:21:53:18",,,"渡邊陽","パス",,
="0:21:54:92",,,"知久航介","パス",,
="0:21:57:35",,,"山川哲史","パス",,
="0:21:59:00",,,"阿部航斗","パス",,
="0:22:01:23",,,"手塚貴大","パス",,
="0:22:01:41",,,"高嶺朋樹","パス",,
="0:22:03:74",,,"阿部航斗","パス",,
="0:22:06:57",,,"山川哲史","パス",,
="0:22:13:35",,,"知久航介","パス",,
="0:22:14:68",,,"生地慶充","パス",,
="0:22:15:22",,,"知久航介","ボールロスト",,
="0:22:16:42",,,"山川哲史","パス",,
="0:22:16:82","ポゼッションスタート",,,,,
="0:22:16:82","筑波大学",,,,,
="0:22:17:69",,,"知久航介","ボールロスト",,
="0:22:18:28",,"スローイン","知久航介",,,
="0:22:27:33","ポゼッションエンド",,,,,
="0:22:27:33","筑波大学",,,,,
="0:22:27:84",,,"渡邊陽","パス",,
="0:22:29:40",,,"知久航介","パス",,
="0:22:32:06",,,"山川哲史","パス",,
="0:22:34:68",,,"森海渡","ボールロスト",,
="0:22:35:59","ポゼッションスタート",,,,,
="0:22:35:59","相手チーム",,,,,
="0:22:37:66","ポゼッションエンド",,,,,
="0:22:37:66","相手チーム",,,,,
="0:22:41:24",,,"井川空",,"インターセプト",
="0:22:43:54","ポゼッションスタート",,,,,
="0:22:43:54","筑波大学",,,,,
="0:22:49:83","ポゼッションエンド",,,,,
="0:22:49:83","筑波大学",,,,,
="0:22:49:86",,,"阿部航斗","パス",,
="0:22:54:05",,,"高嶺朋樹","パス",,
="0:22:57:64",,,"山川哲史","パス",,
="0:22:59:83",,,"知久航介","パス",,
="0:23:01:86",,,"山川哲史","パス",,
="0:23:04:49",,,"手塚貴大","パス",,
="0:23:10:39",,,"加藤匠人","パス",,
="0:23:13:33",,,"渡邊陽","パス",,
="0:23:18:48",,,"高嶺朋樹","パス",,
="0:23:23:20",,,"知久航介","ドリブル",,
="0:23:26:35",,,"知久航介","パス",,
="0:23:31:84",,,"生地慶充","ドリブル",,
="0:23:34:07",,,"生地慶充","パス",,
="0:23:36:34",,,"渡邊陽","パス",,
="0:23:36:55",,,"森海渡","パス",,
="0:23:37:75",,,"池谷祐輔","ボールロスト",,
="0:23:39:42","ポゼッションスタート",,,,,
="0:23:39:42","相手チーム",,,,,
="0:23:40:34",,,"井川空","パス",,
="0:23:40:70","ポゼッションエンド",,"渡邊陽","ボールロスト",,
="0:23:40:70","相手チーム",,,,,
="0:23:49:82",,,"生地慶充",,"カット",
="0:23:51:41","ポゼッションスタート",,,,,
="0:23:51:41","筑波大学",,,,,
="0:23:52:91","ポゼッションエンド",,,,,
="0:23:52:91","筑波大学",,,,,
="0:23:52:97",,,"高嶺朋樹","パス",,
="0:23:54:91",,,"加藤匠人","パス",,
="0:23:56:13",,,"池谷祐輔","パス",,
="0:23:56:78",,,"渡邊陽","パス",,
="0:23:58:70",,,"森海渡","ボールロスト",,
="0:23:58:98","ポゼッションスタート",,,,,
="0:23:58:98","相手チーム",,,,,
="0:24:05:36",,,"森海渡",,,"ファール"
="0:24:22:90","相手チーム","FK",,,,
="0:24:34:42","ポゼッションエンド",,,,,
="0:24:34:42","相手チーム",,,,,
="0:25:03:41",,,"手塚貴大","パス",,
="0:25:03:92",,,"手塚貴大",,"インターセプト",
="0:25:06:29","ポゼッションスタート",,,,,
="0:25:06:29","相手チーム",,,,,
="0:25:10:60","ポゼッションエンド",,,,,
="0:25:10:60","相手チーム",,,,,
="0:25:16:14",,,"手塚貴大",,"インターセプト",
="0:25:17:63","ポゼッションスタート",,,,,
="0:25:17:63","相手チーム",,,,,
="0:25:24:17","相手チーム","スローイン",,,,
="0:25:28:49","ポゼッションエンド",,,,,
="0:25:28:49","相手チーム",,,,,
="0:25:54:36","相手チーム",,,"枠外シュート",,
="0:25:55:59","ポゼッションスタート",,,,,
="0:25:55:59","相手チーム",,,,,
="0:26:03:06",,"GK","阿部航斗",,,
="0:26:38:70","ポゼッションエンド",,,,,
="0:26:38:70","相手チーム",,,,,
="0:26:44:48","ポゼッションスタート",,,,,
="0:26:44:48","筑波大学",,,,,
="0:26:44:82",,"スローイン","井川空",,,
="0:26:48:40","ポゼッションエンド",,,,,
="0:26:48:40","筑波大学",,,,,
="0:26:53:30",,,"手塚貴大","パス",,
="0:26:56:39",,,"阿部航斗","パス",,
="0:26:57:03","ポゼッションスタート",,,,,
="0:26:57:03","相手チーム",,,,,
="0:26:59:46","ポゼッションエンド",,,,,
="0:26:59:46","相手チーム",,,,,
="0:26:59:80",,,,"ボールロスト",,
="0:27:01:67","相手チーム",,,"枠内シュート",,
="0:27:01:67","失点",,,,,
="0:27:05:84","ポゼッションスタート",,,,,
